wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
8f8r7u7x,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,0.0006535627404898598,1.0,0.056105249407185115,100,0.3123706596970317,0.321253104085893,0.5,False,False,True,0.36771202123944974,0.7878216641937476,0.7304654833395353,151668518,distill+latent+ce,36.89,47.01,65.96,62.66,59.06,58.23,46.24,61.55,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
pliy5a5g,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,2.3270565789267416e-05,1.0,0.0005056516873117939,100,0.4874023054922024,0.201374091080017,0.5,False,False,True,0.45492586114253686,0.007830355519257703,0.9258343217938972,151668518,distill+latent+ce,34.62,45.43,66.53,61.26,58.17,60.30,46.39,60.40,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
khpgx5o2,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.00013809921823405334,1.0,3.5034855054509656e-05,100,0.2690071565819163,0.30221802412017695,0.5,False,False,True,0.44121963474008247,0.34535043072649096,0.6537731921716524,151668518,distill+latent+prefusion+ce,37.32,46.32,66.05,61.30,64.47,61.33,50.64,60.46,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
yp4w90hp,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.0004575940265532725,1.0,0.016921387108124464,100,0.15775652281074926,0.20938130353581777,0.5,False,False,True,0.21651528155147487,0.6234993792601012,0.9891875401697944,151668518,distill+latent+prefusion+ce,32.36,49.95,65.47,60.75,64.09,60.94,47.29,62.13,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
k3nvqd3r,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,9.439428501144106e-05,1.0,0.0005432246995196008,100,0.3312593432208045,0.33058618558142056,0.5,False,False,True,0.4881923477927956,0.5638451169054964,0.04395798004878393,151668518,distill+latent+ce,40.31,48.09,67.00,61.93,57.89,61.84,49.10,59.96,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
cb2kbhc1,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,3.769043497651312e-05,1.0,0.0011675410250448458,100,0.3206537293116467,0.24940669230637535,0.5,False,False,True,0.335556866167664,0.022856239254065325,0.8388753021079871,151668518,distill+latent+prefusion+ce,36.53,46.61,66.31,61.25,60.51,60.19,48.18,60.30,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
ueemjgo1,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,3.264723911425784e-05,1.0,0.0015807503951674037,100,0.3153643746216646,0.2871003641115833,0.5,False,False,True,0.09602407026647802,0.6644098980511757,0.06736879552170683,151668518,distill+latent+prefusion+ce,39.51,46.23,67.24,61.81,64.82,61.85,52.14,61.86,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
5qf1q7lu,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.00018886978536423744,1.0,0.0977308169068333,100,0.26631775623118303,0.1938435000368545,0.5,False,False,True,0.0170521096835336,0.6787166735929329,0.7385523538630098,151668518,distill+latent+prefusion+ce,35.02,51.13,65.42,61.16,64.28,61.27,49.10,62.59,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
5nhb63ls,delulu-benv2-final-delulu-s2s1,benv2,s2,s1,61.28,0.00030252287634450955,1.0,0.005585353481309428,100,0.1873330655476231,0.18557075663772624,0.5,False,False,True,0.18383383739961312,0.5397001710320533,0.008794022373227905,151668518,distill+latent+prefusion+ce,40.63,49.59,66.63,61.85,65.40,62.01,52.78,61.77,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
cxtw17qm,delulu-benv2-final-no-prefusion-s2s1,benv2,s2,s1,61.28,5.052467942742826e-05,1.0,0.050840139479199305,100,0.2626184618294011,0.35957245978212937,0.5,False,False,True,0.4330348532895873,0.004207953070585857,0.2777235260295845,151668518,distill+latent+ce,39.08,47.08,67.33,61.77,58.35,60.00,48.41,58.08,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt
