model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,75.0,4,mIoU,15.24,39.42,23.78,checkpoints/evan_mixmatch_dfc2020_s2_20260414_050213.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,75.0,4,mIoU,15.10,40.54,30.33,checkpoints/evan_mixmatch_dfc2020_s2_20260414_051652.pt,clstoken,True
evan_small,s2,fft,0.0003,0.0001,22587272,20,2,0.5,1.0,100.0,4,mIoU,14.61,40.53,41.19,checkpoints/evan_mixmatch_dfc2020_s2_20260414_052052.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,10.0,4,mIoU,38.83,51.02,38.83,checkpoints/evan_mixmatch_dfc2020_s2_20260414_053930.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,40.0,4,mIoU,25.41,44.55,31.54,checkpoints/evan_mixmatch_dfc2020_s2_20260414_055811.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,75.0,4,mIoU,15.47,41.58,29.08,checkpoints/evan_mixmatch_dfc2020_s2_20260414_061645.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.5,100.0,4,mIoU,15.96,38.89,37.01,checkpoints/evan_mixmatch_dfc2020_s2_20260414_063527.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,10.0,4,mIoU,46.74,50.35,46.15,checkpoints/evan_mixmatch_dfc2020_s2_20260414_065406.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,40.0,4,mIoU,15.53,43.38,30.13,checkpoints/evan_mixmatch_dfc2020_s2_20260414_071248.pt,clstoken,True
evan_small,s2,fft,0.0001,0.0001,22587272,20,2,0.5,0.75,75.0,4,mIoU,13.00,42.83,43.18,checkpoints/evan_mixmatch_dfc2020_s2_20260414_073126.pt,clstoken,True
evan_base,s2,fft,0.0003,0.0001,87641864,20,2,0.5,0.5,10.0,4,mIoU,36.95,51.81,44.13,checkpoints/evan_mixmatch_dfc2020_s2_20260414_130741.pt,clstoken,True
evan_base,s2,fft,0.0003,0.0001,87641864,20,2,0.5,0.5,40.0,4,mIoU,30.81,42.88,36.00,checkpoints/evan_mixmatch_dfc2020_s2_20260414_133646.pt,clstoken,True
evan_base,s2,fft,0.0003,0.0001,87641864,20,2,0.5,0.5,75.0,4,mIoU,13.62,43.80,39.87,checkpoints/evan_mixmatch_dfc2020_s2_20260414_140539.pt,clstoken,True
evan_base,s2,fft,0.0003,0.0001,87641864,20,2,0.5,0.5,100.0,4,mIoU,13.58,40.71,26.50,checkpoints/evan_mixmatch_dfc2020_s2_20260414_143448.pt,clstoken,True
evan_base,s2,fft,0.0003,0.0001,87641864,20,2,0.5,0.75,10.0,4,mIoU,37.86,52.28,37.06,checkpoints/evan_mixmatch_dfc2020_s2_20260414_150327.pt,clstoken,True
