model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
panopticon,dfc2020,s2,fft,20,0.0005,0.01,32,mIoU,55.7276,50.4850,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_200840.pt
panopticon,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,54.2334,50.9613,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_202443.pt
panopticon,dfc2020,s2,fft,20,0.0005,0.0,32,mIoU,54.1138,51.5632,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_204043.pt
panopticon,dfc2020,s2,fft,20,0.0001,0.01,32,mIoU,55.0831,51.9072,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_205650.pt
panopticon,dfc2020,s1,fft,20,0.001,0.01,32,mIoU,49.6387,45.2866,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_210954.pt
panopticon,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,54.9082,48.6770,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_211300.pt
panopticon,dfc2020,s2s1,fft,20,0.001,0.01,32,mIoU,53.8603,44.8876,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_211558.pt
panopticon,dfc2020,s1,fft,20,0.001,0.0001,32,mIoU,49.6184,48.1471,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_212155.pt
panopticon,dfc2020,s2,fft,20,0.0001,0.0,32,mIoU,55.4323,43.7715,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260417_212902.pt
panopticon,dfc2020,s2s1,fft,20,0.001,0.0001,32,mIoU,54.8048,51.7514,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_213235.pt
panopticon,dfc2020,s1,fft,20,0.001,0.0,32,mIoU,50.3176,47.8890,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_213351.pt
panopticon,dfc2020,s1,fft,20,0.0005,0.01,32,mIoU,50.7097,48.0898,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_214607.pt
panopticon,dfc2020,s2s1,fft,20,0.001,0.0,32,mIoU,54.4636,48.8777,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_214911.pt
panopticon,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,50.6077,46.3134,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_215806.pt
panopticon,dfc2020,s2s1,fft,20,0.0005,0.01,32,mIoU,54.4996,51.1723,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_220553.pt
panopticon,dfc2020,s1,fft,20,0.0005,0.0,32,mIoU,50.3110,45.1978,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_220958.pt
panopticon,dfc2020,s1,fft,20,0.0001,0.01,32,mIoU,50.1926,46.1496,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_222148.pt
panopticon,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,54.2194,49.0102,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_222232.pt
panopticon,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,50.6170,44.9248,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_223344.pt
panopticon,dfc2020,s2s1,fft,20,0.0005,0.0,32,mIoU,54.7078,52.1579,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_223910.pt
panopticon,dfc2020,s1,fft,20,0.0001,0.0,32,mIoU,50.5436,47.9667,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260417_224542.pt
panopticon,dfc2020,s2s1,fft,20,0.0001,0.01,32,mIoU,55.5450,50.6204,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_225546.pt
panopticon,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,55.5106,50.6735,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_231216.pt
