wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
br12hxfs,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.92326570026977e-05,,0.014051219374274636,64,0.3,0.2269879891659996,0.11529866358414688,0.16421434573589372,0.0,1.0,False,True,False,0.16173503391845143,0.608859787537867,0.7410032510355369,0.35056212133461173,144580646,latent+prefusion+distill+ce,,56.70,48.68,52.37,48.19,76.50,49.32,66.00,51.58,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
5ngrjb0k,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.3118877834444706e-05,,0.007976041162261735,64,0.3,0.1084713163545498,0.1950564855460442,0.4479785247375637,0.0,1.0,False,True,True,0.05071438694965001,0.8832800169531663,0.5796443039965566,0.31198150786746986,144580646,latent+prefusion+distill+ce,,59.25,46.44,52.17,48.77,79.55,48.20,64.15,49.58,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
3p1l15sr,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00048580449398961294,,0.04858564693464076,64,0.3,0.17516320306026986,0.2553531063807414,0.1872493087606973,0.0,0.0,False,True,True,0.25594858546095456,0.33236733047751804,0.832374103878746,0.6996759278482318,144580646,latent+prefusion+distill+ce,,66.55,52.58,52.88,49.99,78.20,48.42,71.10,54.19,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
u1ttcax4,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.534092495171657e-05,,0.0007767712266439052,64,0.3,0.20821244438164035,0.26823682888664624,0.4244422368661219,0.0,1.0,False,True,True,0.2765879347572435,0.6760897953175079,0.6601657511934529,0.6154319853857906,144580646,latent+prefusion+distill+ce,,59.70,47.50,52.71,48.66,75.45,48.09,60.75,50.69,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
22jsyd4g,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00047509868918548074,,0.00016447231525263658,64,0.3,0.36086877691066976,0.4878593750974751,0.40689092756198386,0.0,0.5,False,True,False,0.2034848749769151,0.3454093040468128,0.9281775558131172,0.5881789689609134,144580646,latent+prefusion+distill+ce,,65.65,51.43,51.81,47.80,74.30,51.72,69.47,50.56,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
b2lbyznp,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0006448710799670535,,0.00017659376057121027,64,0.3,0.2714476311302314,0.3407980659379741,0.276789614012809,0.0,1.0,False,True,True,0.055162632804302766,0.3252959335815997,0.8679633630847083,0.2437515701280085,144580646,latent+prefusion+distill+ce,,53.60,42.64,51.35,47.77,75.20,48.87,63.65,48.46,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
akzsw3d7,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0007400908124505816,,3.538657152436956e-05,64,0.3,0.3461388146270096,0.45550774445771647,0.339042762876576,0.0,0.0,False,True,True,0.14748311374633966,0.49477518371067647,0.6538711374127455,0.5502198835667376,144580646,latent+prefusion+distill+ce,,61.95,49.00,52.56,48.44,76.65,48.85,67.62,51.04,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
f1r0bvdk,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0005284972257133606,,0.010035146050007578,64,0.3,0.2949501395052384,0.17350410009643658,0.49541573922325066,0.0,0.0,False,True,False,0.22355452648248855,0.5048792975078806,0.4058055059055544,0.6113199369763007,144580646,latent+prefusion+distill+ce,,62.95,51.38,52.63,48.05,74.10,48.99,67.70,51.97,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
53ct7kfd,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00021468251969740295,,0.0005310653818685271,64,0.3,0.49951900766143753,0.266783569708426,0.31472956932527063,0.0,0.0,False,True,True,0.290944950953739,0.8032096376779847,0.910827197819513,0.6943882907596844,144580646,latent+prefusion+distill+ce,,65.70,51.66,53.25,48.98,76.40,50.21,70.22,52.68,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
x3mt4po0,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,4.2290243407767375e-05,,0.002181770375589088,64,0.3,0.2903239055263218,0.43042698068920027,0.20415303139188623,0.0,0.5,False,True,False,0.29678213488806815,0.9003943347615282,0.48871097252995616,0.4575966958145198,144580646,latent+prefusion+distill+ce,,63.85,50.03,53.00,48.49,74.40,48.94,67.47,51.02,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
