wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
74trzkpk,benv2,s2,s1,61.28,0.0005673551336784444,1.0,0.03781333156416359,100,0.14722699277171658,0.24700877176100927,0.5,False,False,True,0.1764628745075733,0.7561837604368444,0.20367045521295968,151668518,distill+latent+prefusion+ce,36.68,50.50,65.53,61.45,64.78,61.48,50.15,60.95,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_74trzkpk_0502_0202.pt
rq53b40z,benv2,s2,s1,61.28,2.136787392043512e-05,1.0,0.009149976737655616,100,0.35419424207630124,0.259462285884151,0.5,False,False,True,0.27306839799581234,0.23259488450479204,0.8080912041756289,151668518,distill+latent+ce,36.51,45.49,67.20,62.79,62.73,61.00,49.13,60.84,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_rq53b40z_0502_0202.pt
19ha5bk0,benv2,s2,s1,61.28,4.739480975807502e-05,1.0,0.013627694518706514,100,0.2717459220349242,0.3196943736236464,0.5,False,False,True,0.03601990258210841,0.16032008230857386,0.6175835998299115,151668518,distill+latent+ce,39.07,47.88,66.99,61.15,59.72,60.15,49.33,60.72,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_19ha5bk0_0502_0202.pt
qbzan4im,benv2,s2,s1,61.28,0.0003735237566443074,1.0,0.004475137330891016,100,0.4288315646456977,0.0,1.0,False,False,True,0.14916809387462787,0.5919650726502611,0.8689293866978653,151668518,distill+latent+prefusion,38.73,52.18,66.26,61.14,65.67,61.88,52.11,62.49,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_qbzan4im_0502_0202.pt
8uh3odg7,benv2,s2,s1,61.28,0.00036438557579038505,1.0,1.8957299578441676e-05,100,0.3797119392541892,0.0,1.0,False,False,True,0.16325815788825304,0.5492393728428202,0.17244837882544772,151668518,distill+latent+prefusion,41.58,51.82,66.11,62.17,64.98,62.54,53.28,62.73,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_8uh3odg7_0502_0202.pt
rb551vxd,benv2,s2,s1,61.28,4.823060367782937e-05,1.0,0.00039952040536639946,100,0.46747368626406327,0.0,1.0,False,False,True,0.12732540637223932,0.30518586630383493,0.7653408497052313,151668518,distill+latent+prefusion,37.03,47.80,66.03,62.01,62.66,61.54,48.99,60.39,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_rb551vxd_0502_0203.pt
7a2tetpn,benv2,s2,s1,61.28,0.0007038132085325845,1.0,0.0011454701273176295,100,0.17135036357355393,0.0,1.0,False,False,True,0.16476159496584353,0.1144131437964262,0.7381617025484628,151668518,distill+latent+prefusion,37.16,50.82,65.74,61.21,65.22,61.53,51.09,63.19,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_7a2tetpn_0502_0203.pt
n5qhayv2,benv2,s2,s1,61.28,0.0006154158399806352,1.0,1.2162041598391655e-05,100,0.20359311248550857,0.3066186325446335,0.5,False,False,True,0.0858965829075855,0.785734843773195,0.6555735623129232,151668518,distill+latent+ce,35.21,46.31,66.00,62.66,60.06,60.66,47.32,62.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_n5qhayv2_0502_0203.pt
nff9koor,benv2,s2,s1,61.28,0.0001378572021549092,1.0,0.0014048054444301592,100,0.25672887759779184,0.0,1.0,False,False,True,0.41102539968758206,0.23483466881200157,0.1265443496939751,151668518,distill+latent+prefusion,41.45,49.10,66.72,61.58,65.44,60.83,53.45,57.13,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_nff9koor_0502_0203.pt
kv8lhr3f,benv2,s2,s1,61.28,0.0005401199894346463,1.0,0.03516878842828882,100,0.4373664685423817,0.0,1.0,False,False,True,0.21435599634276736,0.5706631447762825,0.9549958699829918,151668518,distill+latent+prefusion,38.22,50.54,65.77,61.35,64.64,62.18,51.39,63.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_kv8lhr3f_0502_0203.pt
ci2whvxb,benv2,s2,s1,61.28,0.0005511328872534315,1.0,0.014946397230097727,100,0.32444222174086323,0.1469173889201461,0.5,False,False,True,0.390642985495646,0.8768095631861915,0.5333656224025936,151668518,distill+latent+prefusion+ce,37.97,47.74,65.18,62.11,64.17,62.36,51.07,61.93,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_ci2whvxb_0502_0203.pt
u74j6pxz,benv2,s2,s1,61.28,2.015944037086144e-05,1.0,0.00019123353776458063,100,0.44877490468489656,0.0,1.0,False,False,True,0.2519269768233989,0.8730961228960645,0.7370701065547381,151668518,distill+latent+prefusion,35.69,43.61,66.53,61.61,62.59,61.45,48.88,60.78,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_u74j6pxz_0502_0204.pt
bqtgeg71,benv2,s1,s2,49.23,0.00013669593469244849,1.0,0.0016849557114742785,100,0.27612011974312045,0.3242061316577556,0.5,False,False,True,0.2563004776080844,0.4293617882875973,0.6918583777975227,151668518,distill+latent+prefusion+ce,34.70,50.59,53.23,50.24,50.73,50.66,42.51,54.20,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,checkpoints/sweep_bqtgeg71_0502_0204.pt
h14ix44f,benv2,s2,s1,61.28,1.1867038700596928e-05,1.0,5.326812057182265e-05,100,0.3489933905241721,0.0,1.0,False,False,True,0.0886820880908829,0.8083052163312803,0.7146274461976418,151668518,distill+latent+prefusion,36.45,44.21,65.66,61.56,62.22,61.48,48.94,60.53,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_h14ix44f_0502_0204.pt
cd6kbvzh,benv2,s1,s2,49.23,2.138392250098365e-05,1.0,0.00668189122110219,100,0.4173605457819781,0.4650000070586777,0.5,False,True,True,0.40266040727998775,0.30367971603563426,0.7592566982703508,151668518,distill+latent+ce,34.04,48.27,52.64,48.30,44.80,48.21,39.42,51.48,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,checkpoints/sweep_cd6kbvzh_0502_0204.pt
1h1rkrmr,benv2,s2,s1,61.28,5.281571558919899e-05,1.0,0.003398946184091307,100,0.13117117390125035,0.12148192745221265,0.5,False,False,True,0.31960364811011516,0.2288830677528392,0.6956282406916678,151668518,distill+latent+ce,38.61,47.49,67.42,62.21,59.21,61.91,48.75,61.47,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,checkpoints/sweep_1h1rkrmr_0502_0204.pt
