slug,run,teacher_test,val_addition,val_peeking,val_transfer,test_addition,test_peeking,test_transfer,test_ens,lr,weight_decay,lambda_latent,lambda_prefusion,lambda_distill,token_mask_ratio,labeled_frequency,modality_dropout_startmod,modality_dropout_newmod
s2rgb_to_s2norgb,po8iq92y,59.00804060652239,92.02844956341912,56.879875565241825,91.73465442464028,58.279099182328096,57.25831588379744,57.85949297656337,57.88570478124379,0.0007976431390068781,8.57276228812748e-05,3.5385543323434323,0.4188404977957303,0.3947676045736115,0.6132918412466553,0.145023915187429,0.48849203919589024,0.22561077464724189
s2rgb_to_s2norgb,lmamc56a,59.00804060652239,94.04894536697356,60.42692656878096,92.7447243587966,59.15690187319257,60.23159432894099,58.02417187296183,59.47435295760361,8.991774074939903e-05,0.0009711586415500786,4.542062598230062,0.4609876330248829,0.8761325878775851,0.6549792495081832,0.33859356751608366,0.2394554941867756,0.3838830072785978
s2rgb_to_s2norgb,sozj66ey,59.00804060652239,92.49385810527066,60.00119676436398,92.44472666154284,59.40951480032548,60.03774459045881,57.93188043035148,59.10104069622628,0.00026618073211918285,1.5835565509465163e-05,3.3115731836173294,0.46463133595544703,0.3411385070758923,0.7346212390606968,0.3288260789241918,0.17296244843998015,0.3606446998602375
s2rgb_to_s2norgb,1l9yh41r,59.00804060652239,96.05019900184617,60.344148973633295,92.29537313898486,59.742094978055505,60.08727042843166,57.71938129353409,59.18942424708356,2.5419014208537445e-05,0.00017371353133027875,4.5347491476405235,0.8875579879006746,0.7186798110458267,0.18515623332160125,0.22101790360190995,0.3816447229633171,0.3039273277286104
s2rgb_to_s2norgb,4hu55je5,59.00804060652239,90.91512436315448,57.16473942258141,91.4458547596032,58.12051995131225,57.743255268144345,58.10396493531811,58.41598136576187,0.000678643647627273,0.0002510547142606741,0.48442028044446583,0.0787153313940746,0.16409786050391972,0.6999757719956144,0.2537012431437937,0.2658357226150077,0.2905751306519589
s2norgb_to_s2rgb,52d4duvm,63.58730478212191,94.08163879270728,64.1184636499332,87.86980124080883,63.08255122780586,64.36664857196472,54.15839060360656,61.61181036152779,0.00010642643875873056,2.5787505894374903e-05,3.4246110334329263,0.19749801559559843,0.4090979945627825,0.7617726698577291,0.15590746099546848,0.3009050270296515,0.26122193734392185
s2norgb_to_s2rgb,recrim14,63.58730478212191,95.36665477327112,64.93944029509973,88.94508160635617,64.13630750445719,64.55978881985367,56.431425570182945,62.186772086349926,0.00011865461122902828,1.3123768797441794e-05,0.06556485520166633,0.3971076195217239,0.6764120882681678,0.3874413083413146,0.1884349563651131,0.12205772647758996,0.33853856395978243
s2norgb_to_s2rgb,v5zri2qh,,89.88804691461714,59.93689596900008,78.54576497725976,55.0248402969849,59.80588286075693,42.36911408095148,56.058959807177814,1.0814304940295222e-05,1.983228389246403e-05,3.309851113307562,0.14827952626630136,0.587846532455465,0.7927694574143811,0.13921734587918205,0.12779224518767887,0.4160821532828707
s2norgb_to_s2rgb,fr1fwgcb,63.58730478212191,93.57186214919022,64.31108699871017,85.84940138501521,62.01758889129644,63.77881083255985,52.79160792936647,60.959195264947816,0.0008473897091693262,5.4735917960905894e-05,0.328444078032607,0.7086061695190233,0.2201892694466195,0.20771178862330608,0.44047066522632405,0.18913625479560833,0.4809038438144959
s2norgb_to_s2rgb,8m8easmi,63.58730478212191,95.77441728139262,65.26913652575269,89.4098216089709,64.69904494100736,64.91394415333438,56.08893496754589,62.24407239443016,0.0003295160045569599,0.0004133566647276542,4.256052868601797,0.7968449640927849,0.5250225143305021,0.11611625101753012,0.23525686516089037,0.3293552183211478,0.4267577587772947
