model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-base,eurosat,vre,fft,20,0.0001,0.01,32,Acc,95.2222,95.2593,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_150215.pt
olmoearth-base,eurosat,swir,fft,20,0.0005,0.0001,32,Acc,94.1111,93.7407,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_150402.pt
olmoearth-large,benv2,s1,fft,20,0.0005,0.0,32,mAP,57.9149,55.5574,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_150356.pt
olmoearth-base,eurosat,nir,fft,20,0.0005,0.0001,32,Acc,93.1852,93.4074,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_150549.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.0,32,mAP,69.6272,65.7247,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_150622.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,63.7098,59.3186,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_151200.pt
olmoearth-base,eurosat,rgb,fft,20,0.0001,0.0001,32,Acc,97.0,97.2407,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_151302.pt
olmoearth-base,benv2,s2,fft,20,0.0001,0.01,32,mAP,68.3569,65.6873,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_151518.pt
olmoearth-large,benv2,s2,fft,20,0.0001,0.0001,32,mAP,67.7026,62.7098,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_151651.pt
olmoearth-base,benv2,s1,fft,20,0.0001,0.01,32,mAP,57.9562,54.0514,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_151916.pt
olmoearth-base,eurosat,s2,fft,20,0.0001,0.0001,32,Acc,98.8889,98.8148,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_152154.pt
olmoearth-base,eurosat,swir,fft,20,0.0005,0.0,32,Acc,94.3704,94.8704,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_152817.pt
olmoearth-large,eurosat,vre,fft,20,0.0005,0.01,32,Acc,96.1481,95.9259,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_152845.pt
olmoearth-base,eurosat,vre,fft,20,0.0001,0.0001,32,Acc,95.1481,94.9444,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_152951.pt
olmoearth-large,eurosat,rgb,fft,20,0.0005,0.01,32,Acc,97.2222,97.3148,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_152940.pt
olmoearth-base,eurosat,nir,fft,20,0.0005,0.0,32,Acc,92.8889,94.0556,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_153019.pt
olmoearth-large,eurosat,swir,fft,20,0.0005,0.01,32,Acc,91.5556,92.0926,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_153115.pt
olmoearth-large,eurosat,nir,fft,20,0.0005,0.01,32,Acc,91.0741,92.0926,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_153408.pt
olmoearth-base,benv2,s2,fft,20,0.0001,0.0001,32,mAP,66.9513,65.2845,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_153416.pt
olmoearth-base,eurosat,rgb,fft,20,0.0001,0.0,32,Acc,96.963,97.0,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_153813.pt
olmoearth-base,benv2,s1,fft,20,0.0001,0.0001,32,mAP,56.0372,54.2865,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_153903.pt
olmoearth-large,eurosat,s2,fft,20,0.0005,0.01,32,Acc,99.1481,99.0,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_154130.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.01,32,mAP,58.0741,54.5819,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_154203.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,0.0,32,mAP,64.0369,58.2051,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_154222.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,0.01,32,mAP,65.6304,62.896,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_154443.pt
