dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,52.89,51.85,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_194405.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,55.24,54.74,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_194455.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,53.96,54.15,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_194434.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,58.10,58.06,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194441.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,55.50,55.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_194506.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,57.63,57.54,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194439.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,53.86,53.17,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_194427.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,55.72,55.96,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194445.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,56.11,56.70,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_194353.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,57.89,58.20,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194353.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,57.59,58.24,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_194440.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,58.58,59.66,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194433.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,58.27,58.68,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194334.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,58.87,59.71,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194435.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,56.17,55.96,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_194431.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,56.00,56.63,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_194432.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,58.82,59.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194437.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,58.77,59.77,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194447.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,57.72,57.86,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_194505.pt,clstoken,True,12,linear,none,full
