dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,50.57,49.58,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_162540.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,50.45,49.45,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_162628.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,43.16,43.02,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_162859.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,43.33,43.17,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_162905.pt,clstoken,False,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,146678280,24,61.56,62.73,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_174358.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,146678280,24,62.04,62.89,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_174407.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,148054536,24,61.70,62.72,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_174420.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,148054536,24,62.47,63.43,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_174442.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,148251144,24,61.81,63.03,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_174451.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,148251144,24,61.55,62.94,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_174446.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,146678280,24,60.17,59.88,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_180820.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,146678280,24,60.56,60.17,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_180925.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,148054536,24,66.64,67.49,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_180956.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,148054536,24,66.71,67.46,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_181023.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,148251144,24,60.18,59.55,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_181042.pt,clstoken,False,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,148251144,24,60.19,60.13,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_181153.pt,clstoken,False,12,upernet,none,full
