dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,s2,fft,32,fft,0.0001,0.0,87643402,24,93.93,93.41,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0001_20260421_150026.pt,clstoken,False
eurosat,evan_base,s2,fft,32,fft,0.0001,0.01,87643402,24,93.83,93.70,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0001_20260421_145600.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.001,0.0,85480714,24,76.31,75.89,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_041216.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.001,0.01,85480714,24,74.91,74.93,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_041037.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.0001,0.01,85480714,24,71.30,71.11,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0001_20260422_041601.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.0005,0.01,85480714,24,75.39,74.52,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0005_20260422_041530.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.0001,0.0,85480714,24,71.91,70.96,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0001_20260422_041556.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.0005,0.0,85480714,24,75.56,74.81,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0005_20260422_041525.pt,clstoken,False
eurosat,evan_base,nir,fft,32,fft,0.001,0.0,85480714,24,80.91,81.22,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,clstoken,True
eurosat,evan_base,nir,fft,32,fft,0.001,0.01,85480714,24,77.69,78.00,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043459.pt,clstoken,True
eurosat,evan_base,nir,fft,32,fft,0.0001,0.01,85480714,24,81.46,80.93,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0001_20260422_043814.pt,clstoken,True
eurosat,evan_base,nir,fft,32,fft,0.0001,0.0,85480714,24,79.15,79.07,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0001_20260422_043858.pt,clstoken,True
eurosat,evan_base,nir,fft,32,fft,0.0005,0.01,85480714,24,81.74,80.26,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0005_20260422_043844.pt,clstoken,True
eurosat,evan_base,nir,fft,32,fft,0.0005,0.0,85480714,24,81.91,80.93,Acc,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.0005_20260422_043951.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.01,107344138,24,87.39,87.37,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260422_095933.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.0,107344138,24,87.15,86.89,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260422_100005.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.0,107344138,24,89.20,88.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260422_100055.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.01,107540746,24,87.48,87.26,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260422_100129.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.0,107540746,24,88.30,88.89,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260422_100242.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.01,107344138,24,88.85,88.52,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260422_100026.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.01,107540746,24,88.96,88.93,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260422_100236.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.0,107540746,24,88.56,88.19,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260422_100200.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.01,107540746,24,89.20,89.04,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260422_100340.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.01,107540746,24,88.20,87.00,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260422_100309.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.0,107540746,24,88.43,87.44,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260422_100302.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.0,107540746,24,89.26,88.74,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260422_100408.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.01,107344138,24,87.61,87.00,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_000844.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.01,107344138,24,89.26,88.37,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_001618.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.0,107344138,24,88.04,87.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_001618.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.0,107540746,24,87.48,87.07,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_002047.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.0,107344138,24,89.52,89.22,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_002005.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.01,107540746,24,86.98,86.89,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_002047.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.01,107540746,24,89.70,89.07,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_002408.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.0,107540746,24,88.89,88.26,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_003220.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.0,107540746,24,89.06,88.52,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_003055.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.0,107540746,24,87.37,87.26,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_003159.pt,clstoken,False
eurosat,evan_base,rgb+swir,fft,32,fft,0.0001,0.01,107540746,24,89.04,88.89,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0001_20260424_003204.pt,clstoken,False
