model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.999,1.0,False,True,True,Acc,87.76,86.85,86.65,checkpoints/evan_freematch_eurosat_swir_20260727_131706.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.05,0.99,1.0,False,True,False,Acc,77.20,76.48,77.07,checkpoints/evan_freematch_eurosat_nir_20260727_133111.pt,clstoken,True,False
evan_base,nir,fft,0.0004,0.0001,85480714,20,1.0,0.05,0.99,1.0,False,True,True,Acc,72.76,75.41,72.76,checkpoints/evan_freematch_eurosat_nir_20260727_133449.pt,clstoken,True,False
evan_large,nir,fft,0.0004,0.0001,302902282,20,1.0,0.01,0.99,1.0,False,True,False,Acc,79.57,79.44,79.57,checkpoints/evan_freematch_eurosat_nir_20260727_122933.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,89.44,88.22,89.44,checkpoints/evan_freematch_eurosat_swir_20260727_133710.pt,clstoken,True,False
evan_large,swir,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,False,Acc,93.11,92.41,93.11,checkpoints/evan_freematch_eurosat_swir_20260727_123233.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,90.41,89.19,90.41,checkpoints/evan_freematch_eurosat_vre_20260727_133838.pt,clstoken,True,False
evan_large,vre,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,False,Acc,92.24,91.41,92.24,checkpoints/evan_freematch_eurosat_vre_20260727_123538.pt,clstoken,True,False
evan_base,vre,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,90.78,89.96,90.78,checkpoints/evan_freematch_eurosat_vre_20260727_134339.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,89.91,90.07,90.89,checkpoints/evan_freematch_eurosat_rgb_20260727_134409.pt,clstoken,True,False
evan_base,rgb,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,False,Acc,91.17,94.11,94.06,checkpoints/evan_freematch_eurosat_rgb_20260727_134339.pt,clstoken,True,False
